Time,x,y,z
1.7866285421673341e+18,-461746871.5621136,67658706340.304924,-956386799.8288374
1.786628542172334e+18,-462575603.5425205,67840947812.18298,-958712331.5188638
1.786628542177334e+18,-463405238.1474755,68023443774.97208,-961041122.9654807
1.7866285421823342e+18,-464235689.43878,68206175529.82147,-963372937.1455051
1.7866285421873341e+18,-465067001.430457,68389152420.14183,-965707894.0046586
1.786628542192334e+18,-465899178.541687,68572374457.89104,-968045993.5798833
1.786628542197334e+18,-466732266.5376339,68755851036.69728,-970387356.04254
1.7866285422023342e+18,-467566182.1312499,68939563357.27477,-972731743.0337465
1.7866285422073341e+18,-468400971.3114463,69123520813.21594,-975079277.1263411
1.786628542212334e+18,-469236637.8954682,69307723416.44887,-977429961.3049611
1.786628542217334e+18,-470073227.2538686,69492180610.78348,-979783918.4293638
1.7866285422223342e+18,-470910655.8503703,69676873496.52283,-982140909.824607
1.7866285422273341e+18,-471748969.0316615,69861811517.47089,-984501058.9712597
1.786628542232334e+18,-472588168.9141665,70046994685.54381,-986864368.9668026
1.786628542237334e+18,-473428300.0375282,70232432494.7392,-989230963.7270471
1.7866285422423342e+18,-474269277.7793579,70418105944.95496,-991600602.7537941
1.7866285422473341e+18,-475111146.63245356,70604024530.23637,-993973408.0434235
1.786628542252334e+18,-475953908.0208405,70790188262.54729,-996349380.2592397
1.786628542257334e+18,-476797606.3599293,70976606686.13255,-998728641.7361933
1.7866285422623342e+18,-477642156.25561494,71163260700.50285,-1001110948.9744182
1.7866285422673341e+18,-478487601.63541746,71350159849.92094,-1003496423.5163198
1.786628542272334e+18,-479333943.09105945,71537304146.36256,-1005885064.4635814
1.786628542277334e+18,-480181224.5175372,71724703184.29002,-1008276993.1959757
1.7866285422823342e+18,-481029359.7449175,71912337762.80891,-1010671964.2360657
1.7866285422873341e+18,-481878393.3263539,72100217476.3756,-1013070100.0562378
1.786628542292334e+18,-482728326.7464356,72288342336.94792,-1015471401.1994002
1.786628542297334e+18,-483579204.524236,72476721989.17586,-1017875991.9433626
1.7866285423023342e+18,-484430940.0644439,72665337131.72414,-1020283627.654569
1.7866285423073341e+18,-485283577.76389813,72854197409.2308,-1022694433.4269369
1.786628542312334e+18,-486137119.0239121,73043302833.64775,-1025108411.2732623
1.786628542317334e+18,-486991609.44746715,73232663099.8364,-1027525686.210446
1.7866285423223342e+18,-487846964.22176206,73422258806.05644,-1029946011.556473
1.7866285423273341e+18,-488703230.50990987,73612099647.1395,-1032369512.3503162
1.786628542332334e+18,-489560411.5496983,73802185635.01363,-1034796190.1573472
1.786628542337334e+18,-490418554.3144015,73992526514.73976,-1037226170.2434573
1.7866285423423342e+18,-491277574.05409306,74183102784.18452,-1039659203.8905784
